"Date";"Text Posts";"Video Posts";"Total";"New Users"
2023-11-21;0;1;1;0
2023-11-17;0;1;1;1
2023-11-12;0;1;1;0
2023-11-10;0;0;0;1
2023-11-09;0;0;0;1
2023-11-08;2;0;2;0
2023-11-07;6;0;6;0
2023-11-05;3;0;3;0
2023-11-02;1;0;1;0
2023-10-30;0;0;0;2
2023-10-29;0;0;0;1
2023-10-27;1;1;2;0
2023-10-25;2;1;3;0
2023-10-24;3;1;4;0
2023-10-21;2;0;2;0
2023-10-20;2;0;2;0
2023-10-13;1;0;1;0
2023-10-12;1;0;1;1
2023-10-09;0;0;0;1
2023-10-08;0;0;0;1
2023-10-04;1;2;3;0
2023-09-28;6;7;13;0
2023-09-27;0;0;0;1
2023-09-22;0;0;0;1
2023-09-21;5;0;5;0
2023-09-17;1;0;1;0
2023-09-16;1;0;1;1
2023-09-14;15;0;15;1
2023-09-12;0;0;0;1
2023-09-11;1;0;1;1
2023-09-10;25;0;25;0
2023-09-09;19;0;19;0
2023-09-08;9;6;15;0
2023-09-07;11;3;14;0
2023-09-06;4;5;9;1
2023-09-04;0;0;0;1
2023-09-03;0;0;0;1
2023-09-01;0;0;0;4
2023-08-31;0;0;0;2
2023-08-18;0;0;0;1
2023-08-17;0;0;0;1
2023-08-15;0;6;6;1
2023-08-06;0;0;0;1
2023-08-03;0;9;9;1
2023-08-01;0;0;0;2
2023-07-25;9;0;9;0
2023-07-14;2;0;2;0
2023-07-11;1;0;1;0
2023-07-08;1;0;1;1
2023-06-23;0;0;0;1
2023-06-16;0;0;0;1
2023-06-15;0;0;0;1
2023-06-10;0;0;0;1
2023-05-24;2;0;2;0
2023-05-23;1;0;1;1
2023-05-22;0;0;0;1
2023-05-18;0;0;0;1
2023-05-17;3;0;3;0
2023-05-16;3;0;3;0
2023-05-14;1;0;1;0
2023-05-13;0;0;0;1
2023-05-07;1;0;1;0
2023-05-04;2;0;2;0
2023-05-03;2;0;2;0
2023-05-02;10;0;10;0
2023-05-01;2;0;2;0
2023-04-30;1;0;1;0
2023-04-28;2;0;2;0
2023-04-25;1;0;1;0
2023-04-23;1;0;1;0
2023-04-02;1;0;1;0
2023-03-28;2;0;2;1
2023-03-24;6;0;6;0
2023-03-23;1;0;1;0
2023-03-22;1;0;1;1
2023-03-21;1;0;1;0
2023-03-19;2;0;2;0
2023-03-11;1;0;1;0
2023-03-10;22;0;22;0
2023-03-09;2;0;2;0
2023-03-08;2;0;2;0
2023-03-07;1;0;1;0
